id,name,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,latitude,longitude,availability_365,calculated_host_listings_count
1330404993082229093,Casa de Las Luces,Xochimilco,Entire home/apt,970.0,2.0,9,4.78,19.22355,-99.09502,300,1
1334930122486428650,Cozy studio in parque México,Cuauhtémoc,Entire home/apt,1955.75,1.0,56,4.57,19.41472,-99.16701,360,163
1334953095058578329,Habitación cómoda y tranquila en Polanco. 16,Miguel Hidalgo,Private room,1440.0,1.0,9,4.44,19.4332016,-99.2007435,322,13
1335135601727632633,Maravillosa estancia en Roma N,Cuauhtémoc,Private room,1179.33,3.0,2,5.0,19.41577189097445,-99.1555126770999,365,1
1335502893133196339,24/7 Guardia. Presidencia 5 min. Equipaje 13:00 pm,Cuauhtémoc,Entire home/apt,2340.0,1.0,94,4.83,19.43656,-99.1357,283,3
1335531579706328928,Fab Heated Rooftop Pool Villa in las Lomas,Miguel Hidalgo,Entire home/apt,13666.74,2.0,0,4.84,19.41187,-99.22041,157,1
1335607216462787353,Loft Revolucion Mx,Cuauhtémoc,Entire home/apt,2260.9,1.0,79,4.78,19.4355942,-99.1573145,171,1
1335614487251409815,New Loft Narvarte w / amenities,Benito Juárez,Entire home/apt,1110.5,2.0,3,5.0,19.3876737,-99.1498313,86,3
1335725507152240259,Roma Norte sobre Álvaro Obregón,Cuauhtémoc,Entire home/apt,2168.24,1.0,15,4.93,19.41713491436161,-99.16525069624186,348,1
1335727250813048620,"Estilo colonial, gran ubicación y acceso directo",Cuauhtémoc,Entire home/apt,1997.33,3.0,33,4.94,19.4136431,-99.1772286,119,2
1335760066498821104,Lovely apt in High-rise | Great Amenities,Cuauhtémoc,Entire home/apt,1940.83,1.0,30,4.9,19.42717,-99.16253,105,17
1330523452769019336,Bonito Departamento,Venustiano Carranza,Entire home/apt,1164.0,1.0,35,4.4,19.4331763,-99.1080238,327,1
1330544759058511284,Central Safe | and Everything Within Your Reach 2,Venustiano Carranza,Private room,558.45,1.0,40,4.88,19.41664,-99.12319,350,35
1330545707475737406,Mexico City | Private Room | Terrace | Events 3,Venustiano Carranza,Private room,556.8,1.0,31,4.94,19.41668,-99.12459,348,35
1330546816303896104,"Bonita habitación, estancia mínima 2 noches",Benito Juárez,Private room,571.0,2.0,1,5.0,19.3699197,-99.177977,364,2
1330549934941918745,Mexico City | Foro Sol | Airport Historic Center 6,Venustiano Carranza,Private room,590.24,1.0,24,4.71,19.41719,-99.12442,341,35
